carat,cut,color,clarity,depth,table,price,x,y,z,clarity_measure,color_measure
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,3.5313950000000007,2.8540217525000005,2,6
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,3.5275100000000004,2.86317063,3,5
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,3.61057,2.908859705,4,2
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,3.3708150000000003,2.7072531675,6,5
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,3.458755,2.7642258775,4,4
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,3.5287800000000002,2.84860302,4,4
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,3.607739999999999,2.9032484399999996,2,2
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,3.4323550000000003,2.7738488725000003,6,3
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,3.510885000000001,2.8290744825000003,3,3
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,3.4982999999999995,2.8071016999999996,3,3
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,3.5226000000000006,2.8436034,3,6
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,3.5010000000000003,2.7903,4,4
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,3.542,2.858856,1,6
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,3.4993349999999994,2.8315535174999997,5,2
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,3.5226450000000007,2.8619971425,4,3
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,3.521699999999999,2.8148617,2,6
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,3.4796449999999997,2.7921615474999997,2,6
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,3.498705000000001,2.8101406725,2,5
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,3.5107299999999997,2.844595205,1,6
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,3.5799199999999995,2.88107548,2,1
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,3.5187500000000007,2.8652343750000004,3,6
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,3.5581300000000002,2.8821559100000003,3,3
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,3.6482,2.9683139,2,4
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,3.6223199999999993,2.93352384,1,6
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,3.511495,2.8169337325,2,4
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,3.5479150000000006,2.8583372025,3,3
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,3.5485499999999996,2.8716041249999997,4,3
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,3.537094999999999,2.8323999524999994,1,6
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,3.489839999999999,2.78531264,3,3
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,3.50946,2.8098171899999995,5,2
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,3.5816849999999993,2.8911648225,2,4
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,3.5592500000000005,2.8750228750000004,3,3
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,3.6799550000000005,2.9866610725,1,4
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,3.539439999999999,2.8295708799999995,6,2
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,3.6722,2.953071,1,4
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,3.3302249999999995,2.6814691875,6,3
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,3.3009500000000003,2.662648075,6,4
0.71,Good,E,VS2,59.2,61.0,2772,5.8,3.45728,2.7401548800000004,3,5
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,3.5983099999999997,2.8959070149999997,1,6
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,3.3785,2.6820649999999997,3,6
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,4.1327300000000005,3.29978173,0,0
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,3.347225,2.7016039125,4,5
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,3.580169999999999,2.9030632949999995,2,5
0.83,Good,I,VS2,64.6,54.0,2774,5.85,3.7887900000000005,3.1133291699999996,3,1
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,3.567660000000001,2.87118779,3,4
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,3.602235000000001,2.9372818475000004,3,3
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,3.5801700000000007,2.921873295,3,5
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,3.5485099999999994,2.9042766099999997,3,5
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,3.2401599999999995,2.61496928,5,5
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,3.22875,2.604140625,5,5
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,3.5442299999999998,2.86264707,2,3
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,3.5236349999999996,2.8266882224999996,2,3
0.72,Good,G,VS2,59.7,60.5,2776,5.8,3.47454,2.76845019,3,3
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,3.4968999999999992,2.8123122499999997,2,3
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,3.5707649999999997,2.8938448275,4,6
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,3.5303850000000008,2.8567195425,3,4
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,3.557620000000001,2.8880526800000004,3,4
0.71,Good,F,VS2,63.8,58.0,2777,5.61,3.58875,2.93440125,3,4
0.71,Good,F,VS2,57.8,60.0,2777,5.87,3.40153,2.67947217,3,4
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,3.530385,2.8660345425,3,5
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,3.4674249999999995,2.8037033375,3,5
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,3.461999999999999,2.7755999999999994,2,5
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,3.49146,2.82176676,2,5
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,3.5425500000000003,2.888134425,2,5
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,3.4800500000000003,2.80906525,2,5
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,3.5074999999999994,2.8326875,2,5
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,3.5182200000000012,2.84841354,2,5
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,3.5627700000000004,2.8992759300000004,2,4
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,3.432270000000001,2.753084865,2,5
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,3.491035000000001,2.8201172275000004,2,5
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,3.481774999999999,2.7986619374999995,2,5
0.7,Good,E,VS2,64.1,59.0,2777,5.64,3.599215,2.9611684074999993,3,5
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,4.080790000000001,3.4394032050000005,1,2
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,3.6285600000000002,2.95107072,2,4
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,3.5107599999999994,2.87900016,2,5
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,3.190665,2.5686738225,6,4
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,3.5446399999999993,2.84685056,3,2
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,3.59094,2.90944499,2,5
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,3.58068,2.92263624,3,4
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,3.61998,2.91311388,3,3
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,3.5397,2.86271685,3,4
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,3.5885249999999997,2.8900464374999997,4,3
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,3.49059,2.80309113,4,3
1.01,Premium,F,I1,61.8,60.0,2781,6.39,3.939750000000001,3.19189275,0,4
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,3.6418100000000013,2.9457329100000003,2,2
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,3.6444600000000005,2.92672476,2,2
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,3.5117700000000003,2.83055631,4,2
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,3.0791249999999994,2.4204984374999996,5,6
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,3.6289599999999993,2.92062624,3,3
0.7,Good,E,VS1,57.2,62.0,2782,5.81,3.3118799999999995,2.60885768,4,5
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,3.5098200000000004,2.87132839,4,5
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,3.631405,2.9692982775,1,6
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,3.499039999999999,2.8147481599999997,2,6
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,3.5801700000000007,2.9187382950000003,2,6
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,3.56076,2.90159864,2,6
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,3.4685449999999998,2.7160291475,2,3
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,3.601110000000001,2.9107007700000005,2,4
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,3.2095200000000004,2.59670072,7,4
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,3.5973000000000015,2.925499500000001,3,4
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,3.7487449999999995,3.0572002824999998,4,2
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,3.609300000000001,2.9476374000000005,3,4
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,3.180600000000001,2.5700860000000003,6,4
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,3.4101749999999997,2.7521788125,4,6
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,3.4817750000000007,2.7895869375,6,2
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,3.7179350000000007,2.9902141425,4,1
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,3.62148,2.92668732,5,1
0.71,Good,D,VS2,63.3,56.0,2788,5.64,3.5827800000000005,2.91900987,3,6
0.77,Good,G,VS1,59.4,64.0,2788,5.97,3.5313299999999996,2.8218950099999995,4,3
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,3.55,2.89375,2,4
1.01,Fair,E,I1,64.5,58.0,2788,6.29,4.031249999999999,3.328603125,0,5
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,3.9281549999999994,3.2096615925,1,2
0.77,Good,F,SI1,64.2,52.0,2789,5.81,3.71718,3.0582247799999998,2,4
0.76,Good,E,SI1,63.7,54.0,2789,5.76,3.6977849999999997,3.0123045225,2,5
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,3.581719999999999,2.8695194399999995,2,5
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,3.6091200000000008,2.9135980800000003,2,5
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,4.089040000000001,3.3429766400000003,1,0
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,3.6898399999999993,2.97523072,1,3
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,3.532759999999999,2.8498500799999995,2,5
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,3.221609999999999,2.588740245,7,3
0.81,Good,G,SI2,61.0,61.0,2789,5.94,3.6386499999999993,2.92148825,1,3
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,3.3813449999999996,2.7514476225,5,5
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,3.3708149999999995,2.7163881675,6,5
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,3.610570000000001,2.9149897050000004,4,2
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,4.1717200000000005,3.48138588,1,0
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,3.4082800000000004,2.74264782,7,3
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,3.5103600000000004,2.79604584,6,1
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,3.759805,3.0464092574999997,1,4
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,3.458755,2.7732408774999997,4,4
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,3.528780000000001,2.8609630200000002,4,4
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,3.8700600000000005,3.1609390800000003,2,1
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,3.58272,2.89936592,2,5
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,3.4602400000000006,2.7499110400000006,2,5
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,3.5380499999999993,2.8545574499999997,2,5
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,3.521684999999999,2.8325764524999997,2,5
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,3.52728,2.86817544,4,4
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,3.4993550000000004,2.8162842425,4,4
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,3.50746,2.80640308,5,2
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,3.5485100000000003,2.88561661,4,4
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,3.6481199999999987,2.9173203599999997,2,3
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,3.5695750000000004,2.9027013375000004,3,5
0.7,Good,E,VS2,64.1,55.0,2793,5.6,3.6088299999999993,2.9514300149999992,3,5
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,3.61057,2.905794705,3,1
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,3.59898,2.92150023,3,2
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,3.7193199999999997,3.04286512,2,5
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,3.529704999999999,2.8346004674999996,3,5
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,3.642814999999999,2.9565962425,5,1
0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,3.7184399999999993,3.01683172,1,4
0.72,Good,F,VS1,60.7,60.0,2795,5.74,3.478109999999999,2.7976963849999996,4,4
0.72,Premium,D,SI2,62.0,60.0,2795,5.73,3.5402000000000005,2.873762,1,6
0.72,Premium,I,IF,63.0,57.0,2795,5.72,3.5972999999999997,2.9349494999999997,7,1
0.81,Premium,H,VS2,58.0,59.0,2795,6.17,3.567,2.82373,3,2
0.72,Premium,G,VS2,62.9,57.0,2795,5.73,3.5790100000000002,2.927683645,3,3
1.0,Premium,I,SI2,58.2,60.0,2795,6.61,3.82956,3.0379119600000006,1,1
0.73,Good,E,SI1,63.2,58.0,2796,5.7,3.62136,2.94554976,2,5
0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,3.6626749999999992,2.9432198874999997,1,2
0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,3.6692549999999997,2.9363853824999997,2,5
